UNID,PDIR,fullstreet,PBUILD,PSTREET,PSTREETTYPE,PSTREETSUF,PSUITE,PCITY,PSTATE,PCODE,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
4FC96621A14FA35C85257DA50059E777,N,"3019 11th Street",3019,"11th Street",,,,Arlington,VA,22201,38.886336,-77.094153,1,rooftop,3019,"11th St N",Arlington,VA,"Arlington County",22201,US,Arlington
501A12338AF7890B8525798A006713C9,,"2711 Jefferson Davis Hwy",2711,"Jefferson Davis Hwy",,,,Arlington,VA,22202,38.848679,-77.052482,1,rooftop,2711,"Jefferson Davis Hwy",Arlington,VA,"Arlington County",22202,US,Arlington
505A2F731E93B6C085257DD60076D783,," WNA-Terminal B/C-Center Pier Space",,"WNA-Terminal B/C-Center Pier Space",,,,Arlington,VA,20001,38.907238,-77.025987,0.43,intersection,,"N St NW",Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
51673471BAB9CD6A8525822D0072E76B,,"1700 N Moore St",1700,"N Moore St",,,,Arlington,VA,22209,38.895473,-77.071724,1,rooftop,1700,"N Moore St",Arlington,VA,"Arlington County",22209,US,Arlington
516CE432742721F28525822D005343EB,,"1201 Wilson Blvd",1201,"Wilson Blvd",,,,Arlington,VA,22205,38.895306,-77.070933,0.9,rooftop,1201,"Wilson Blvd",Arlington,VA,"Arlington County",22209,US,Arlington
518A9416E6692A7688256BF800748334,,"5050 Lee Hwy",5050,"Lee Hwy",,,,Arlington,VA,22207,38.896144,-77.131126,1,rooftop,5050,"Lee Hwy",Arlington,VA,"Arlington County",22207,US,Arlington
51C0A5366D91DCA188256BF80074812A,,"2600 N Stuart St",2600,"N Stuart St",,,,Arlington,VA,22207,38.906793,-77.113652,1,rooftop,2600,"N Stuart St",Arlington,VA,"Arlington County",22207,US,Arlington
522CF3BCCD129C1785256C45006BC919,,"3850 Wilson Blvd",3850,"Wilson Blvd",,,,Arlington,VA,22203,38.880265,-77.105449,1,rooftop,3850,"Wilson Blvd",Arlington,VA,"Arlington County",22203,US,Arlington
525451C81D0349B185257EC9006A1B39,,"5175 Lee Hwy",5175,"Lee Hwy",,,,Arlington,VA,22207,38.896632,-77.133099,1,rooftop,5175,"Lee Hwy",Arlington,VA,"Arlington County",22207,US,Arlington
5291F0BF10F680B588256BF800748192,,"3233 Columbia Pike",3233,"Columbia Pike",,,,Arlington,VA,22204,38.861778,-77.091242,1,rooftop,3233,"Columbia Pike",Arlington,VA,"Arlington County",22204,US,Arlington
52BC18538364766588258183005D2BAB,,"1000 N Glebe",1000,"N Glebe",,,,Arlington,VA,22209,38.882469,-77.116476,0.9,rooftop,1000,"N Glebe Rd",Arlington,VA,"Arlington County",22201,US,Arlington
530CE9DBA708990985257F000065CAC6,,"1002 S. Glebe Rd",1002,"S. Glebe Rd",,,,Arlington,VA,22204,38.860825,-77.092244,1,rooftop,1002,"S Glebe Rd",Arlington,VA,"Arlington County",22204,US,Arlington
53405138EFD4036D852578EF004A01FB,," Mobile",,Mobile,,,"MOBILE #",Arlington,VA,,38.885484,-77.099113,1,place,,,Arlington,VA,"Arlington County",22201,US,"TIGER/Line® dataset from the US Census Bureau"
535133AB66F85FB385257DC40057889D,,"5101 Wilson Blvd",5101,"Wilson Blvd",,,,Arlington,VA,22205,38.877882,-77.123517,1,rooftop,5101,"Wilson Blvd",Arlington,VA,"Arlington County",22205,US,Arlington
5354AE2F7C3E2298852582430067C7A6,,"1325 Wilson Blvd",1325,"Wilson Blvd",,,,Arlington,VA,22209,38.895113,-77.072771,1,rooftop,1325,"Wilson Blvd",Arlington,VA,"Arlington County",22209,US,Arlington
536DCC786880A6648525788500561130,,"3434 Washington Blvd",3434,"Washington Blvd",,,,Arlington,VA,22201,38.885703,-77.101722,1,rooftop,3434,"Washington Blvd",Arlington,VA,"Arlington County",22201,US,Arlington
537AE59C6D83FC4585257B3B0053D4AB,," Mobile",,Mobile,,,,Arlington,VA,,38.885484,-77.099113,1,place,,,Arlington,VA,"Arlington County",22201,US,"TIGER/Line® dataset from the US Census Bureau"
53B0FBEDE45D35E185257248006BEB5B,,"5900 Little Falls Rd",5900,"Little Falls Rd",,,,Arlington,VA,22207,38.900621,-77.150928,1,rooftop,5900,"Little Falls Rd",Arlington,VA,"Arlington County",22207,US,Arlington
53FB9D61174B230588256BF80074837B,,"5900 Washington Blvd",5900,"Washington Blvd",,,,Arlington,VA,22205,38.885654,-77.142282,1,rooftop,5900,"Washington Blvd",Arlington,VA,"Arlington County",22205,US,Arlington
5410AD4C786CF507852580CE005C02AB,," Ballston/Courthouse/Crystal City",,"Ballston/Courthouse/Crystal City",,,,Arlington,VA,22204,38.860335,-77.100868,1,place,,,Arlington,VA,"Arlington County",22204,US,"TIGER/Line® dataset from the US Census Bureau"
5427649707C78D3688256BF80074812D,,"125 S Old Glebe Rd",125,"S Old Glebe Rd",,,,Arlington,VA,22204,38.868878,-77.098303,1,rooftop,125,"S Glebe Rd",Arlington,VA,"Arlington County",22204,US,Arlington
544DD05D441A55DE85257E7A0051D251,,"3800 Lee Highway Unit C",3800,"Lee Highway Unit C",,,,Arlington,VA,22207,38.896356,-77.106722,1,rooftop,3800,"Lee Hwy",Arlington,VA,"Arlington County",22207,US,Arlington
5481BD39CCE1A98488256BF80074854D,,"1901 S Bell St # 1841",1901,"S Bell St # 1841",,,,Arlington,VA,22202,38.856485,-77.05074,1,rooftop,1901,"S Bell St",Arlington,VA,"Arlington County",22202,US,Arlington
550CC39D986CE81788256BF80074820C,,"855 N Edison St",855,"N Edison St",,,,Arlington,VA,22205,38.879937,-77.122065,1,rooftop,855,"N Edison St",Arlington,VA,"Arlington County",22205,US,Arlington
551C520D29E6F878852570ED006FBADE,," Mobile",,Mobile,,,"MOBILE #0",Arlington,VA,22204,38.860335,-77.100868,1,place,,,Arlington,VA,"Arlington County",22204,US,"TIGER/Line® dataset from the US Census Bureau"
5534C697518A13818525782B0076EEEA,," WNA - North & Central Pier Carts &",,"WNA - North & Central Pier Carts &",,,,Washington,VA,22202,38.854462,-77.059721,0.67,place,,,Arlington,VA,"Arlington County",22202,US,"TIGER/Line® dataset from the US Census Bureau"
553E3334138826F18825814D004D8C22,," Mobile",,Mobile,,,,Arlington,VA,22204,38.860335,-77.100868,1,place,,,Arlington,VA,"Arlington County",22204,US,"TIGER/Line® dataset from the US Census Bureau"
555116F44D0012F685258091005FE308,,"3100 Clarendon Blvd",3100,"Clarendon Blvd",,,,Arlington,VA,22201,38.886437,-77.095303,1,rooftop,3100,"Clarendon Blvd",Arlington,VA,"Arlington County",22201,US,Arlington
558C0671BB1C5A6985257B890067D9E8,,"251 S. 18th St # 1666",251,"S. 18th St # 1666",,,,Arlington,VA,22202,38.858282,-77.051036,1,rooftop,251,"18th St S",Arlington,VA,"Arlington County",22202,US,Arlington
55CD02C806F7B65188256BF80074819E,,"2250 Clarendon Blvd",2250,"Clarendon Blvd",,,,Arlington,VA,22201,38.889606,-77.085869,1,rooftop,2250,"Clarendon Blvd",Arlington,VA,"Arlington County",22201,US,Arlington
55ECDCEF2DDA53C288256FB9007247DA,,"2503-B Harrison St",2503-B,"Harrison St",,,,Arlington,VA,22207,38.897701,-77.138835,0.9,rooftop,2503,"N Harrison St",Arlington,VA,"Arlington County",22207,US,Arlington
5641EA06A4EC81CC88256BF8007481EA,,"2461 S Clark St",2461,"S Clark St",,,,Arlington,VA,22202,38.851853,-77.051203,1,rooftop,2461,"S Clark St",Arlington,VA,"Arlington County",22202,US,Arlington
5664CD374F9796D385256C4B005A3E08,,"4701 Columbia Pike",4701,"Columbia Pike",,,,Arlington,VA,22204,38.857168,-77.107758,1,rooftop,4701,"Columbia Pike",Arlington,VA,"Arlington County",22204,US,Arlington
566875377B6024EA85257FEF005FC6D4,,"2915 Columbia Pike",2915,"Columbia Pike",,,,Arlington,VA,22204,38.862592,-77.087507,1,rooftop,2915,"Columbia Pike",Arlington,VA,"Arlington County",22204,US,Arlington
56D79AC141A13AFF88256BF800748321,,"2700 Wilson Blvd",2700,"Wilson Blvd",,,,Arlington,VA,22201,38.889073,-77.09109,1,rooftop,2700,"Wilson Blvd",Arlington,VA,"Arlington County",22201,US,Arlington
56DEB3E36A65AE7588256BF800748210,,"5910 Wilson Blvd",5910,"Wilson Blvd",,,,Arlington,VA,22205,38.874258,-77.134727,1,rooftop,5910,"Wilson Blvd",Arlington,VA,"Arlington County",22205,US,Arlington
56F9A8A262D6C7208525823500515AA3,," Mobile",,Mobile,,,,Arlington,VA,22204,38.860335,-77.100868,1,place,,,Arlington,VA,"Arlington County",22204,US,"TIGER/Line® dataset from the US Census Bureau"
5718642573B37EC688256BF800748183,,"1200 N Fort Myer Dr",1200,"N Fort Myer Dr",,,,Arlington,VA,22209,38.888177,-77.075584,1,range_interpolation,1200,"N Fort Myer Dr",Arlington,VA,"Arlington County",22209,US,"TIGER/Line® dataset from the US Census Bureau"
57198F8C7FBB2C778525775200541E8A,," Ballston Area",,"Ballston Area",,,,Arlington,VA,,38.885484,-77.099113,1,place,,,Arlington,VA,"Arlington County",22201,US,"TIGER/Line® dataset from the US Census Bureau"
572AC64EACE7BE4885257F0E00655C4E,,"2800 S Randolph St # 130",2800,"S Randolph St # 130",,,,Arlington,VA,22206,38.840454,-77.089226,1,rooftop,2800,"S Randolph St",Arlington,VA,"Arlington County",22206,US,Arlington
5734B69A8F4FA89B85257B65006FCA78,,"922 S Walter Reed Dr",922,"S Walter Reed Dr",,,,Arlington,VA,22204,38.863113,-77.087314,1,rooftop,922,"S Walter Reed Dr",Arlington,VA,"Arlington County",22204,US,Arlington
57BA9EACB34F178A8525803A006361EB,,"2901 Wilson Blvd",2901,"Wilson Blvd",,,,Arlington,VA,22201,38.888748,-77.093449,1,rooftop,2901,"Wilson Blvd",Arlington,VA,"Arlington County",22201,US,Arlington
57D1588973ADD05D88256BF800748116,,"2601 Columbia Pike",2601,"Columbia Pike",,,,Arlington,VA,22204,38.863196,-77.085261,1,rooftop,2601,"Columbia Pike",Arlington,VA,"Arlington County",22204,US,Arlington
5804D0322BE1DB8185257BD30057663F,,"909 S Dinwiddle St",909,"S Dinwiddle St",,,,Arlington,VA,22204,38.860335,-77.100868,0.33,place,,,Arlington,VA,"Arlington County",22204,US,"TIGER/Line® dataset from the US Census Bureau"
5869D586B16E693B88256BF8007485E4,,"2700 Wilson Blvd",2700,"Wilson Blvd",,,,Arlington,VA,22201,38.889073,-77.09109,1,rooftop,2700,"Wilson Blvd",Arlington,VA,"Arlington County",22201,US,Arlington
588AD78C1843560B852580FB006F4FD3,,"1100 S Hayes Street #C06",1100,"S Hayes Street #C06",,,,Arlington,VA,22202,38.863731,-77.060561,1,rooftop,1100,"S Hayes St",Arlington,VA,"Arlington County",22202,US,Arlington
589AE284C85ADB1385257D16005F4FC4,,"3209 Columbia Pike",3209,"Columbia Pike",,,,Arlington,VA,22204,38.861983,-77.090341,1,rooftop,3209,"Columbia Pike",Arlington,VA,"Arlington County",22204,US,Arlington
59396C277478133B8525821F00514D08,," Mobile",,Mobile,,,,Arlington,VA,22204,38.860335,-77.100868,1,place,,,Arlington,VA,"Arlington County",22204,US,"TIGER/Line® dataset from the US Census Bureau"
5996DDA58E1764EE852580E50059DD1C,," Ballston/Clarendon",,Ballston/Clarendon,,,,Arlington,VA,,38.885484,-77.099113,1,place,,,Arlington,VA,"Arlington County",22201,US,"TIGER/Line® dataset from the US Census Bureau"
59D303A0E8C8C24D85256DFA005B4C31,,"1300 Wilson Blvd",1300,"Wilson Blvd",,,,Arlington,VA,22209,38.894363,-77.072683,1,rooftop,1300,"Wilson Blvd",Arlington,VA,"Arlington County",22209,US,Arlington
59DCD1D743BE142F85256F4D0067DF9B,,"3207 Washington Blvd",3207,"Washington Blvd",,,,Arlington,VA,22201,38.886156,-77.097215,1,rooftop,3207,"Washington Blvd",Arlington,VA,"Arlington County",22201,US,Arlington
59F764F6EDA0918888256BF800748420,,"1415 S Queen St",1415,"S Queen St",,,,Arlington,VA,22204,38.861542,-77.071843,1,rooftop,1415,"S Queen St",Arlington,VA,"Arlington County",22204,US,Arlington
